952$p,100$a,245$a,250$a,260$b,260$c,300$a,082$a,041$h,952$a,952$b,650$a,365$b,365$c,923$d,923$n,942$c,952$c,952$8,952$e,952$1
SC015870,Sethi,Automotive Technology,,Tata McGraw Hill,2005,316,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,150,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015871,Sethi,Automotive Technology,,Tata McGraw Hill,2005,316,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,150,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015872,"Srinivas, S.",Automotive Mechanics,,Tata McGraw Hill,2005,551,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,185,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015873,"Srinivas, S.",Automotive Mechanics,,Tata McGraw Hill,2005,551,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,185,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015874,"Srinivas, S.",Automotive Mechanics,,Tata McGraw Hill,2005,551,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,185,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015875,"Srinivas, S.",Automotive Mechanics,,Tata McGraw Hill,2005,551,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,185,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015876,"Srinivas, S.",Automotive Mechanics,,Tata McGraw Hill,2005,551,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,185,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015877,Ebling,Reliability and Maintainability,,Tata McGraw Hill,2005,486,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015878,Ebling,Reliability and Maintainability,,Tata McGraw Hill,2005,486,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015879,Ebling,Reliability and Maintainability,,Tata McGraw Hill,2005,486,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015880,Ebling,Reliability and Maintainability,,Tata McGraw Hill,2005,486,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015881,Ebling,Reliability and Maintainability,,Tata McGraw Hill,2005,486,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015882,"Monks, Joseph G.",Operations Management,,Tata McGraw Hill,2004,429,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015883,"Monks, Joseph G.",Operations Management,,Tata McGraw Hill,2004,429,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015884,"Monks, Joseph G.",Operations Management,,Tata McGraw Hill,2004,429,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,3
SC015885,"Monks, Joseph G.",Operations Management,,Tata McGraw Hill,2004,429,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015886,"Chary, S.N.",Production and Operations Management,,Tata McGraw Hill,2004,1.12,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015887,"Chary, S.N.",Production and Operations Management,,Tata McGraw Hill,2004,1.12,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015888,"Chary, S.N.",Production and Operations Management,,Tata McGraw Hill,2004,1.12,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015889,"Chary, S.N.",Production and Operations Management,,Tata McGraw Hill,2004,1.12,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015890,"Chary, S.N.",Production and Operations Management,,Tata McGraw Hill,2004,1.12,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015891,Gopal Krishnan,Purchasing and Materials Management,,Tata McGraw Hill,2005,441,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015892,Gopal Krishnan,Purchasing and Materials Management,,Tata McGraw Hill,2005,441,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015893,Gopal Krishnan,Purchasing and Materials Management,,Tata McGraw Hill,2005,441,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015894,Gopal Krishnan,Purchasing and Materials Management,,Tata McGraw Hill,2005,441,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015895,Gopal Krishnan,Purchasing and Materials Management,,Tata McGraw Hill,2005,441,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015896,"Jain ,P.L",Quality control and Total Quality Management,,Tata McGraw Hill,2001,376,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,215,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015897,"Jain ,P.L",Quality control and Total Quality Management,,Tata McGraw Hill,2001,376,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,215,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015898,"Jain ,P.L",Quality control and Total Quality Management,,Tata McGraw Hill,2001,376,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,215,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015899,"Jain ,P.L",Quality control and Total Quality Management,,Tata McGraw Hill,2001,376,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,215,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015900,"Jain ,P.L",Quality control and Total Quality Management,,Tata McGraw Hill,2001,376,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,215,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015901,"Sundara, Raju",Total Quality Management,,Tata McGraw Hill,2005,185,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,195,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015902,"Sundara, Raju",Total Quality Management,,Tata McGraw Hill,2005,185,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,195,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015903,"Sundara, Raju",Total Quality Management,,Tata McGraw Hill,2005,185,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,195,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015904,"Sundara, Raju",Total Quality Management,,Tata McGraw Hill,2005,185,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,195,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015905,"Sundara, Raju",Total Quality Management,,Tata McGraw Hill,2005,185,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,195,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015906,Grant,Statistical Quality Control,,Tata McGraw Hill,2000,764,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,325,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015907,Grant,Statistical Quality Control,,Tata McGraw Hill,2000,764,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,325,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015908,Grant,Statistical Quality Control,,Tata McGraw Hill,2000,764,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,325,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015909,Grant,Statistical Quality Control,,Tata McGraw Hill,2000,764,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,325,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015910,Grant,Statistical Quality Control,,Tata McGraw Hill,2000,764,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,325,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015911,Arora,Production and Operations Management,,Tata McGraw Hill,2005,764,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,440,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015912,Arora,Production and Operations Management,,Tata McGraw Hill,2005,764,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,440,INR,26/09/2005,8972,Reference,Reference Section,NFIC,PBC,
SC015913,Arora,Production and Operations Management,,Tata McGraw Hill,2005,764,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,440,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015914,Arora,Production and Operations Management,,Tata McGraw Hill,2005,764,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,440,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015915,Arora,Production and Operations Management,,Tata McGraw Hill,2005,764,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,440,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015916,Lehri,Strength of Materials,,S K Kataria,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,310,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015917,Lehri,Strength of Materials,,S K Kataria,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,310,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015918,Lehri,Strength of Materials,,S K Kataria,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,310,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015919,Lehri,Strength of Materials,,S K Kataria,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,310,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015920,Lehri,Strength of Materials,,S K Kataria,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,310,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015921,Gopal Krishnan,Maintenance and Spare Parts,,Prentice Hall of India,2004,384,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,125,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015922,Gopal Krishnan,Maintenance and Spare Parts,,Prentice Hall of India,2004,384,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,125,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015923,Gopal Krishnan,Maintenance and Spare Parts,,Prentice Hall of India,2004,384,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,125,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015924,Gopal Krishnan,Maintenance and Spare Parts,,Prentice Hall of India,2004,384,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,125,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015925,Gopal Krishnan,Maintenance and Spare Parts,,Prentice Hall of India,2004,384,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,125,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,3
SC015926,Gopal Krishnan,Maintenance and Spare Parts,,Prentice Hall of India,2004,384,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,125,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015927,Rajput R.K.,Material Science and Engineering,,S K Kataria,2005,1002,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015928,Rajput R.K.,Material Science and Engineering,,S K Kataria,2005,1002,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015929,Rajput R.K.,Material Science and Engineering,,S K Kataria,2005,1002,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015930,Rajput R.K.,Material Science and Engineering,,S K Kataria,2005,1002,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,3
SC015931,Rajput R.K.,Material Science and Engineering,,S K Kataria,2005,1002,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,275,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015932,"Yadav, R.",Thermodynamics and Heat Engines-II,,S K Kataria,2005,964,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015933,"Yadav, R.",Thermodynamics and Heat Engines-II,,S K Kataria,2005,964,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015934,"Yadav, R.",Thermodynamics and Heat Engines-II,,S K Kataria,2005,964,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015935,"Yadav, R.",Thermodynamics and Heat Engines-II,,S K Kataria,2005,964,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015936,"Yadav, R.",Thermodynamics and Heat Engines-II,,S K Kataria,2005,964,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015937,"Yadav, R.",Thermodynamics and Heat Engines-II,,S K Kataria,2005,964,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015938,"Yadav, R.",Thermodynamics and Heat Engines-II,,S K Kataria,2005,964,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015939,"Yadav, R.",Thermodynamics and Heat Engines-II,,S K Kataria,2005,964,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,225,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015940,"Khurmi, R.S.",Thermal Engineering,,S.Chand,2004,895,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015941,"Khurmi, R.S.",Thermal Engineering,,S.Chand,2004,895,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015942,"Khurmi, R.S.",Thermal Engineering,,S.Chand,2004,895,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015943,"Khurmi, R.S.",Thermal Engineering,,S.Chand,2004,895,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015944,"Khurmi, R.S.",Thermal Engineering,,S.Chand,2004,895,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8972,BK,General Section,NFIC,PBC,
SC015945,Radhakrishanan,Welding Technology,,New Age International,2005,541,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,595,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015946,Radhakrishanan,Welding Technology,,New Age International,2005,541,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,595,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015947,Radhakrishanan,Welding Technology,,New Age International,2005,541,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,595,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015948,Radhakrishanan,Welding Technology,,New Age International,2005,541,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,595,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015949,Radhakrishanan,Welding Technology,,New Age International,2005,541,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,595,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015950,"Mishra, R.C,",Maintenance Engineering and Management,,Prentice Hall of India,2005,216,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,150,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015950A,"Mishra, R.C,",Maintenance Engineering and Management,,Prentice Hall of India,2005,216,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,150,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015951,"Mishra, R.C,",Maintenance Engineering and Management,,Prentice Hall of India,2005,216,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,150,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015951A,"Mishra, R.C,",Maintenance Engineering and Management,,Prentice Hall of India,2005,216,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,150,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015951B,"Mishra, R.C,",Maintenance Engineering and Management,,Prentice Hall of India,2005,216,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,150,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015952,"Purohit, R.K.",Fundamentals of Fluid Mechanics,,Scientific Pub,2005,1617,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,180,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015953,"Purohit, R.K.",Fundamentals of Fluid Mechanics,,Scientific Pub,2005,1617,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,180,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015954,"Purohit, R.K.",Fundamentals of Fluid Mechanics,,Scientific Pub,2005,1617,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,180,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015955,"Purohit, R.K.",Fundamentals of Fluid Mechanics,,Scientific Pub,2005,1617,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,180,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015956,"Purohit, R.K.",Fundamentals of Fluid Mechanics,,Scientific Pub,2005,1617,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,180,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015957,Natrajan,Operation Research,,Pearson Education,2005,738,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015958,Natrajan,Operation Research,,Pearson Education,2005,738,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015959,Natrajan,Operation Research,,Pearson Education,2005,738,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015960,Natrajan,Operation Research,,Pearson Education,2005,738,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015961,Natrajan,Operation Research,,Pearson Education,2005,738,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015962,Rathakrishnan,Fundamentals of Engineering Thermodynamics,,Prentice Hall of India,2005,696,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,425,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015963,Rathakrishnan,Fundamentals of Engineering Thermodynamics,,Prentice Hall of India,2005,696,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,425,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015964,Rathakrishnan,Fundamentals of Engineering Thermodynamics,,Prentice Hall of India,2005,696,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,425,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015965,Rathakrishnan,Fundamentals of Engineering Thermodynamics,,Prentice Hall of India,2005,696,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,425,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015966,Rathakrishnan,Fundamentals of Engineering Thermodynamics,,Prentice Hall of India,2005,696,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,425,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015967,Beer,Mechanics Of Materials,,Tata McGraw Hill,2005,780,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015968,Beer,Mechanics Of Materials,,Tata McGraw Hill,2005,780,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015969,Beer,Mechanics Of Materials,,Tata McGraw Hill,2005,780,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015970,Beer,Mechanics Of Materials,,Tata McGraw Hill,2005,780,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015971,Beer,Mechanics Of Materials,,Tata McGraw Hill,2005,780,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,295,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,3
SC015972,"Vijya, M.S.",Material Science,,Tata McGraw Hill,2004,590,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,195,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015973,"Vijya, M.S.",Material Science,,Tata McGraw Hill,2004,590,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,195,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015974,"Vijya, M.S.",Material Science,,Tata McGraw Hill,2004,590,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,195,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015975,"Vijya, M.S.",Material Science,,Tata McGraw Hill,2004,590,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,195,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015976,"Sarkar, B.K.",Strength of Materials,,Tata McGraw Hill,2003,388,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,135,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015977,"Sarkar, B.K.",Strength of Materials,,Tata McGraw Hill,2003,388,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,135,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015978,"Sarkar, B.K.",Strength of Materials,,Tata McGraw Hill,2003,388,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,135,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015979,"Sarkar, B.K.",Strength of Materials,,Tata McGraw Hill,2003,388,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,135,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,3
SC015980,"Sarkar, B.K.",Strength of Materials,,Tata McGraw Hill,2003,388,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,135,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,3
SC015981,"Rajendra , V.",Materials Science,,Tata McGraw Hill,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015982,"Rajendra , V.",Materials Science,,Tata McGraw Hill,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015983,"Rajendra , V.",Materials Science,,Tata McGraw Hill,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015984,"Rajendra , V.",Materials Science,,Tata McGraw Hill,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015985,"Rajendra , V.",Materials Science,,Tata McGraw Hill,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015986,"Rajendra , V.",Materials Science,,Tata McGraw Hill,2005,-,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,175,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015987,"Narula, G.K.",Materials Science,,Tata McGraw Hill,2005,392,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,180,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015988,"Narula, G.K.",Materials Science,,Tata McGraw Hill,2005,392,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,180,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015989,"Narula, G.K.",Materials Science,,Tata McGraw Hill,2005,392,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,180,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015990,"Narula, G.K.",Materials Science,,Tata McGraw Hill,2005,392,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,180,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015991,"Narula, G.K.",Materials Science,,Tata McGraw Hill,2005,392,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,180,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015992,"Srinath, LS.",Materials Science,,Tata McGraw Hill,2005,450,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,240,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015993,"Srinath, LS.",Advanced Mechanics of Solids,,Tata McGraw Hill,2005,450,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,240,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015994,"Srinath, LS.",Advanced Mechanics of Solids,,Tata McGraw Hill,2005,450,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,240,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015995,"Srinath, LS.",Advanced Mechanics of Solids,,Tata McGraw Hill,2005,450,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,240,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015996,"Srinath, LS.",Advanced Mechanics of Solids,,Tata McGraw Hill,2005,450,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,240,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015997,"Srinath, LS.",Advanced Mechanics of Solids,,Tata McGraw Hill,2005,450,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,240,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015998,"Najar, Alok",Testing of Metals,,Tata McGraw Hill,2005,202,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,495,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
SC015999,"Najar, Alok",Testing of Metals,,Tata McGraw Hill,2005,202,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,495,INR,26/09/2005,8970,Reference,Reference Section,NFIC,PBC,
SC016000,Heino,Principles of Metal Casting,,Tata McGraw Hill,2005,736,620.1,eng,SCGRANT,SCGRANT,Mechanical Engineering,250,INR,26/09/2005,8970,BK,General Section,NFIC,PBC,
